No.,P1,P2,P3,P4,Duration
0_0,sil,sil,sil,sh,2260
0_1,sil,sil,sh,iy,800
0_2,sil,sh,iy,hv,1066
0_3,sh,iy,hv,eh,1342
0_4,iy,hv,eh,dcl,692
0_5,hv,eh,dcl,jh,524
0_6,eh,dcl,jh,axr,789
0_7,dcl,jh,axr,dcl,1197
0_8,jh,axr,dcl,d,220
0_9,axr,dcl,d,aa,1424
0_10,dcl,d,aa,r,1106
0_11,d,aa,r,kcl,493
0_12,aa,r,kcl,s,2046
0_13,r,kcl,s,ux,1261
0_14,kcl,s,ux,dx,680
0_15,s,ux,dx,ih,880
0_16,ux,dx,ih,ng,1098
0_17,dx,ih,ng,gcl,465
0_18,ih,ng,gcl,g,499
0_19,ng,gcl,g,r,913
0_20,gcl,g,r,iy,1538
0_21,g,r,iy,z,1303
0_22,r,iy,z,iy,1083
0_23,iy,z,iy,w,1961
0_24,z,iy,w,aa,1673
0_25,iy,w,aa,sh,1507
0_26,w,aa,sh,epi,1000
0_27,aa,sh,epi,w,1340
0_28,sh,epi,w,ao,1580
0_29,epi,w,ao,dx,480
0_30,w,ao,dx,er,1658
0_31,ao,dx,er,ao,2465
0_32,dx,er,ao,l,572
0_33,er,ao,l,y,1581
0_34,ao,l,y,ih,1398
0_35,l,y,ih,axr,2246
1_0,sil,sil,sil,d,190
1_1,sil,sil,d,ow,2100
1_2,sil,d,ow,n,560
1_3,d,ow,n,ae,1720
1_4,ow,n,ae,s,1320
1_5,n,ae,s,kcl,795
1_6,ae,s,kcl,m,398
1_7,s,kcl,m,ix,420
1_8,kcl,m,ix,dx,209
1_9,m,ix,dx,ix,1003
1_10,ix,dx,ix,kcl,1385
1_11,dx,ix,kcl,k,1180
1_12,ix,kcl,k,eh,1403
1_13,kcl,k,eh,r,1337
1_14,k,eh,r,iy,1462
1_15,eh,r,iy,ix,710
1_16,r,iy,ix,n,1023
1_17,iy,ix,n,ao,1735
1_18,ix,n,ao,l,793
1_19,n,ao,l,iy,1045
